Area Code,Item Code,Year,Area harvested,Production,Seed
5,486,1961,500.0,600.0,0.0
5,486,1962,500.0,600.0,0.0
5,486,1963,500.0,720.0,0.0
5,486,1964,500.0,1130.0,0.0
5,486,1965,405.0,907.0,0.0
5,486,1966,486.0,680.0,0.0
5,486,1967,550.0,1179.0,0.0
5,486,1968,630.0,1125.0,0.0
5,486,1969,700.0,1910.0,0.0
5,486,1970,700.0,2368.0,0.0
5,486,1971,500.0,1500.0,0.0
5,486,1972,470.0,1400.0,0.0
5,486,1973,400.0,1300.0,0.0
5,486,1974,400.0,1200.0,0.0
5,486,1975,400.0,1100.0,0.0
5,486,1976,350.0,1000.0,0.0
5,486,1977,350.0,1000.0,0.0
5,486,1978,350.0,1000.0,0.0
5,486,1979,350.0,1000.0,0.0
5,486,1980,350.0,1000.0,0.0
5,486,1981,350.0,1000.0,0.0
5,486,1982,350.0,1100.0,0.0
5,486,1983,350.0,1100.0,0.0
5,486,1984,350.0,1000.0,0.0
5,486,1985,350.0,1000.0,0.0
5,486,1986,350.0,1000.0,0.0
5,486,1987,350.0,1000.0,0.0
5,486,1988,350.0,1000.0,0.0
5,486,1989,350.0,1010.0,0.0
5,486,1990,408.0,1000.0,0.0
5,486,1991,346.0,851.0,0.0
5,486,1992,300.0,750.0,0.0
5,486,1993,333.0,821.0,0.0
5,486,1994,331.0,813.0,0.0
5,486,1995,329.0,809.0,0.0
5,486,1996,329.0,807.0,0.0
5,486,1997,330.0,808.0,0.0
5,486,1998,332.0,812.0,0.0
5,486,1999,333.0,814.0,0.0
5,486,2000,335.0,816.0,0.0
5,486,2001,334.0,812.0,0.0
5,486,2002,335.0,813.0,0.0
5,486,2003,337.0,817.0,0.0
5,486,2004,340.0,821.0,0.0
5,486,2005,342.0,825.0,0.0
5,486,2006,320.0,770.0,0.0
5,486,2007,330.0,790.0,0.0
5,486,2008,346.0,827.0,0.0
5,486,2009,350.0,834.0,0.0
5,486,2010,380.0,903.0,0.0
5,486,2011,357.0,846.0,0.0
5,486,2012,370.0,860.0,0.0
5,486,2013,358.0,843.0,0.0
5,486,2014,357.0,845.0,0.0
5,414,1998,8.0,53.0,0.0
5,414,1999,10.0,60.0,0.0
5,414,2000,20.0,80.0,0.0
5,414,2001,30.0,110.0,0.0
5,414,2002,40.0,130.0,0.0
5,414,2003,48.0,140.0,0.0
5,414,2004,50.0,150.0,0.0
5,414,2005,45.0,137.0,0.0
5,414,2006,45.0,136.0,0.0
5,414,2007,43.0,134.0,0.0
5,414,2008,43.0,133.0,0.0
5,414,2009,43.0,132.0,0.0
5,414,2010,42.0,130.0,0.0
5,414,2011,42.0,129.0,0.0
5,414,2012,40.0,120.0,0.0
5,414,2013,43.0,132.0,0.0
5,414,2014,41.0,128.0,0.0
5,358,1998,29.0,195.0,0.0
5,358,1999,30.0,200.0,0.0
5,358,2000,35.0,220.0,0.0
5,358,2001,40.0,250.0,0.0
5,358,2002,50.0,260.0,0.0
5,358,2003,71.0,311.0,0.0
5,358,2004,70.0,310.0,0.0
5,358,2005,67.0,287.0,0.0
5,358,2006,67.0,276.0,0.0
5,358,2007,62.0,265.0,0.0
5,358,2008,67.0,255.0,0.0
5,358,2009,68.0,248.0,0.0
5,358,2010,70.0,241.0,0.0
5,358,2011,72.0,236.0,0.0
5,358,2012,70.0,220.0,0.0
5,358,2013,77.0,224.0,0.0
5,358,2014,85.0,230.0,0.0
5,125,1961,3.0,40.0,0.0
5,125,1962,3.0,40.0,0.0
5,125,1963,3.0,41.0,0.0
5,125,1964,6.0,76.0,0.0
5,125,1965,2.0,15.0,0.0
5,125,1966,2.0,17.0,0.0
5,125,1967,6.0,50.0,0.0
5,125,1968,2.0,17.0,0.0
5,125,1969,2.0,17.0,0.0
5,125,1970,2.0,18.0,0.0
5,125,1971,2.0,20.0,0.0
5,125,1972,3.0,26.0,0.0
5,125,1973,3.0,20.0,0.0
5,125,1974,3.0,15.0,0.0
5,125,1975,3.0,16.0,0.0
5,125,1976,3.0,17.0,0.0
5,125,1977,3.0,16.0,0.0
5,125,1978,3.0,13.0,0.0
5,125,1979,3.0,11.0,0.0
5,125,1980,4.0,20.0,0.0
5,125,1981,4.0,26.0,0.0
5,125,1982,4.0,27.0,0.0
5,125,1983,4.0,19.0,0.0
5,125,1984,4.0,18.0,0.0
5,125,1985,4.0,18.0,0.0
5,125,1986,4.0,19.0,0.0
5,125,1987,4.0,20.0,0.0
5,125,1988,4.0,20.0,0.0
5,125,1989,3.0,20.0,0.0
5,125,1990,11.0,183.0,0.0
5,125,1991,3.0,180.0,0.0
5,125,1992,3.0,177.0,0.0
5,125,1993,15.0,174.0,0.0
5,125,1994,19.0,171.0,0.0
5,125,1995,23.0,167.0,0.0
5,125,1996,44.0,170.0,0.0
5,125,1997,35.0,223.0,0.0
5,125,1998,50.0,353.0,0.0
5,125,1999,15.0,100.0,0.0
5,125,2000,15.0,145.0,0.0
5,125,2001,15.0,138.0,0.0
5,125,2002,15.0,138.0,0.0
5,125,2003,34.0,102.0,0.0
5,125,2004,15.0,100.0,0.0
5,125,2005,15.0,120.0,0.0
5,125,2006,15.0,115.0,0.0
5,125,2007,16.0,111.0,0.0
5,125,2008,17.0,107.0,0.0
5,125,2009,17.0,103.0,0.0
5,125,2010,17.0,100.0,0.0
5,125,2011,17.0,96.0,0.0
5,125,2012,14.0,80.0,0.0
5,125,2013,15.0,85.0,0.0
5,125,2014,18.0,87.0,0.0
5,661,1961,63.0,5.0,0.0
5,661,1962,80.0,7.0,0.0
5,661,1963,100.0,10.0,0.0
5,661,1964,100.0,2.0,0.0
5,661,1965,100.0,5.0,0.0
5,661,1966,90.0,10.0,0.0
5,661,1967,80.0,20.0,0.0
5,661,1968,70.0,20.0,0.0
5,661,1969,70.0,24.0,0.0
5,661,1970,60.0,24.0,0.0
5,661,1971,60.0,22.0,0.0
5,661,1972,60.0,22.0,0.0
5,661,1973,60.0,20.0,0.0
5,661,1974,60.0,20.0,0.0
5,661,1975,60.0,18.0,0.0
5,661,1976,60.0,18.0,0.0
5,661,1977,60.0,16.0,0.0
5,661,1978,55.0,15.0,0.0
5,661,1979,55.0,15.0,0.0
5,661,1980,40.0,15.0,0.0
5,661,1981,20.0,5.0,0.0
5,661,1982,20.0,5.0,0.0
5,661,1983,15.0,2.0,0.0
5,661,1984,15.0,1.0,0.0
5,661,1985,15.0,1.0,0.0
5,661,1986,15.0,1.0,0.0
5,661,1987,15.0,1.0,0.0
5,661,1988,15.0,1.0,0.0
5,661,1989,15.0,5.0,0.0
5,661,1990,15.0,1.0,0.0
5,661,1991,15.0,1.0,0.0
5,661,1992,15.0,1.0,0.0
5,661,1993,15.0,1.0,0.0
5,661,1994,16.0,1.0,0.0
5,661,1995,16.0,1.0,0.0
5,661,1996,16.0,1.0,0.0
5,661,1997,16.0,1.0,0.0
5,661,1998,16.0,1.0,0.0
5,661,1999,16.0,1.0,0.0
5,661,2000,16.0,1.0,0.0
5,661,2001,16.0,1.0,0.0
5,661,2002,16.0,1.0,0.0
5,661,2003,16.0,1.0,0.0
5,661,2004,16.0,1.0,0.0
5,661,2005,16.0,1.0,0.0
5,661,2006,15.0,1.0,0.0
5,661,2007,15.0,1.0,0.0
5,661,2008,16.0,1.0,0.0
5,661,2009,17.0,1.0,0.0
5,661,2010,18.0,1.0,0.0
5,661,2011,18.0,1.0,0.0
5,661,2012,18.0,1.0,0.0
5,661,2013,18.0,1.0,0.0
5,661,2014,18.0,1.0,0.0
5,249,1961,4000.0,6900.0,0.0
5,249,1962,4047.0,8000.0,0.0
5,249,1963,4000.0,9000.0,0.0
5,249,1964,3000.0,7000.0,0.0
5,249,1965,3000.0,6300.0,0.0
5,249,1966,3000.0,7000.0,0.0
5,249,1967,3000.0,7000.0,0.0
5,249,1968,3000.0,6500.0,0.0
5,249,1969,3000.0,6000.0,0.0
5,249,1970,3180.0,5800.0,0.0
5,249,1971,3000.0,5500.0,0.0
5,249,1972,3000.0,5100.0,0.0
5,249,1973,2900.0,5000.0,0.0
5,249,1974,2800.0,5000.0,0.0
5,249,1975,2750.0,5000.0,0.0
5,249,1976,2700.0,5000.0,0.0
5,249,1977,2600.0,5000.0,0.0
5,249,1978,2500.0,5000.0,0.0
5,249,1979,2400.0,4500.0,0.0
5,249,1980,2400.0,4600.0,0.0
5,249,1981,2400.0,4600.0,0.0
5,249,1982,2400.0,4700.0,0.0
5,249,1983,2400.0,4800.0,0.0
5,249,1984,2300.0,4700.0,0.0
5,249,1985,2300.0,4600.0,0.0
5,249,1986,2350.0,4700.0,0.0
5,249,1987,2380.0,4750.0,0.0
5,249,1988,2400.0,4900.0,0.0
5,249,1989,2400.0,5000.0,0.0
5,249,1990,2249.0,4900.0,0.0
5,249,1991,2334.0,5022.0,0.0
5,249,1992,2200.0,4700.0,0.0
5,249,1993,2463.0,5240.0,0.0
5,249,1994,2537.0,5409.0,0.0
5,249,1995,2598.0,5551.0,0.0
5,249,1996,2649.0,5670.0,0.0
5,249,1997,2722.0,5837.0,0.0
5,249,1998,3800.0,8166.0,0.0
5,249,1999,2200.0,4700.0,0.0
5,249,2000,2570.0,5542.0,0.0
5,249,2001,2553.0,5533.0,0.0
5,249,2002,2571.0,5594.0,0.0
5,249,2003,2100.0,4615.0,0.0
5,249,2004,2200.0,4700.0,0.0
5,249,2005,2580.0,5816.0,0.0
5,249,2006,2563.0,5956.0,0.0
5,249,2007,2538.0,6096.0,0.0
5,249,2008,2525.0,6272.0,0.0
5,249,2009,2550.0,6700.0,0.0
5,249,2010,2498.0,6507.0,0.0
5,249,2011,2600.0,6849.0,0.0
5,249,2012,2650.0,7000.0,0.0
5,249,2013,2700.0,7500.0,0.0
5,249,2014,2526.0,7007.0,0.0
5,397,1998,41.0,272.0,0.0
5,397,1999,55.0,300.0,0.0
5,397,2000,65.0,320.0,0.0
5,397,2001,80.0,350.0,0.0
5,397,2002,90.0,400.0,0.0
5,397,2003,108.0,455.0,0.0
5,397,2004,100.0,450.0,0.0
5,397,2005,95.0,435.0,0.0
5,397,2006,91.0,423.0,0.0
5,397,2007,85.0,411.0,0.0
5,397,2008,85.0,400.0,0.0
5,397,2009,82.0,391.0,0.0
5,397,2010,79.0,382.0,0.0
5,397,2011,76.0,374.0,0.0
5,397,2012,72.0,360.0,0.0
5,397,2013,72.0,362.0,0.0
5,397,2014,75.0,380.0,0.0
5,399,1998,13.0,98.0,0.0
5,399,1999,15.0,105.0,0.0
5,399,2000,20.0,120.0,0.0
5,399,2001,25.0,140.0,0.0
5,399,2002,30.0,150.0,0.0
5,399,2003,39.0,173.0,0.0
5,399,2004,35.0,160.0,0.0
5,399,2005,33.0,156.0,0.0
5,399,2006,33.0,155.0,0.0
5,399,2007,32.0,154.0,0.0
5,399,2008,32.0,154.0,0.0
5,399,2009,32.0,154.0,0.0
5,399,2010,32.0,153.0,0.0
5,399,2011,32.0,153.0,0.0
5,399,2012,33.0,150.0,0.0
5,399,2013,32.0,153.0,0.0
5,399,2014,31.0,152.0,0.0
5,512,1961,31.0,70.0,0.0
5,512,1962,31.0,70.0,0.0
5,512,1963,31.0,74.0,0.0
5,512,1964,31.0,90.0,0.0
5,512,1965,31.0,82.0,0.0
5,512,1966,31.0,75.0,0.0
5,512,1967,31.0,67.0,0.0
5,512,1968,31.0,60.0,0.0
5,512,1969,31.0,52.0,0.0
5,512,1970,31.0,52.0,0.0
5,512,1971,31.0,50.0,0.0
5,512,1972,31.0,50.0,0.0
5,512,1973,31.0,45.0,0.0
5,512,1974,31.0,40.0,0.0
5,512,1975,31.0,35.0,0.0
5,512,1976,31.0,30.0,0.0
5,512,1977,31.0,30.0,0.0
5,512,1978,31.0,25.0,0.0
5,512,1979,31.0,22.0,0.0
5,512,1980,31.0,22.0,0.0
5,512,1981,31.0,23.0,0.0
5,512,1982,31.0,24.0,0.0
5,512,1983,31.0,25.0,0.0
5,512,1984,31.0,27.0,0.0
5,512,1985,31.0,29.0,0.0
5,512,1986,31.0,30.0,0.0
5,512,1987,31.0,32.0,0.0
5,512,1988,31.0,34.0,0.0
5,512,1989,31.0,36.0,0.0
5,512,1990,31.0,20.0,0.0
5,512,1991,31.0,25.0,0.0
5,512,1992,31.0,20.0,0.0
5,512,1993,31.0,25.0,0.0
5,512,1994,31.0,24.0,0.0
5,512,1995,31.0,25.0,0.0
5,512,1996,31.0,25.0,0.0
5,512,1997,31.0,25.0,0.0
5,512,1998,31.0,26.0,0.0
5,512,1999,31.0,26.0,0.0
5,512,2000,31.0,26.0,0.0
5,512,2001,31.0,27.0,0.0
5,512,2002,31.0,27.0,0.0
5,512,2003,31.0,27.0,0.0
5,512,2004,31.0,27.0,0.0
5,512,2005,31.0,28.0,0.0
5,512,2006,31.0,28.0,0.0
5,512,2007,31.0,30.0,0.0
5,512,2008,31.0,28.0,0.0
5,512,2009,31.0,28.0,0.0
5,512,2010,31.0,28.0,0.0
5,512,2011,31.0,28.0,0.0
5,512,2012,31.0,29.0,0.0
5,512,2013,31.0,29.0,0.0
5,512,2014,31.0,29.0,0.0
5,619,1961,31.0,680.0,0.0
5,619,1962,31.0,700.0,0.0
5,619,1963,31.0,750.0,0.0
5,619,1964,31.0,750.0,0.0
5,619,1965,31.0,900.0,0.0
5,619,1966,31.0,1050.0,0.0
5,619,1967,31.0,1200.0,0.0
5,619,1968,31.0,1350.0,0.0
5,619,1969,31.0,1500.0,0.0
5,619,1970,31.0,1400.0,0.0
5,619,1971,31.0,1300.0,0.0
5,619,1972,31.0,1200.0,0.0
5,619,1973,31.0,1100.0,0.0
5,619,1974,31.0,1000.0,0.0
5,619,1975,31.0,1000.0,0.0
5,619,1976,31.0,800.0,0.0
5,619,1977,31.0,750.0,0.0
5,619,1978,31.0,700.0,0.0
5,619,1979,31.0,650.0,0.0
5,619,1980,31.0,600.0,0.0
5,619,1981,31.0,600.0,0.0
5,619,1982,31.0,500.0,0.0
5,619,1983,31.0,400.0,0.0
5,619,1984,31.0,400.0,0.0
5,619,1985,80.0,400.0,0.0
5,619,1986,80.0,400.0,0.0
5,619,1987,80.0,400.0,0.0
5,619,1988,80.0,400.0,0.0
5,619,1989,80.0,400.0,0.0
5,619,1990,80.0,413.0,0.0
5,619,1991,80.0,399.0,0.0
5,619,1992,80.0,446.0,0.0
5,619,1993,80.0,439.0,0.0
5,619,1994,80.0,455.0,0.0
5,619,1995,80.0,433.0,0.0
5,619,1996,80.0,463.0,0.0
5,619,1997,80.0,471.0,0.0
5,619,1998,80.0,479.0,0.0
5,619,1999,80.0,499.0,0.0
5,619,2000,80.0,535.0,0.0
5,619,2001,80.0,565.0,0.0
5,619,2002,80.0,582.0,0.0
5,446,1961,2.0,4.0,0.0
5,446,1962,2.0,4.0,0.0
5,446,1963,2.0,4.0,0.0
5,446,1964,2.0,4.0,0.0
5,446,1965,2.0,4.0,0.0
5,446,1966,2.0,5.0,0.0
5,446,1967,2.0,5.0,0.0
5,446,1968,2.0,5.0,0.0
