Area Code,Area,Item Code,Item,Year,YearF,Area harvested,Yield,Production,Seed
5,American Samoa,486,Bananas,1961,F,500.0,12000.0,600.0,
5,American Samoa,486,Bananas,1962,F,500.0,12000.0,600.0,
5,American Samoa,486,Bananas,1963,F,500.0,14400.0,720.0,
5,American Samoa,486,Bananas,1964,F,500.0,22600.0,1130.0,
5,American Samoa,486,Bananas,1965,,405.0,22395.0,907.0,
5,American Samoa,486,Bananas,1966,,486.0,13992.0,680.0,
5,American Samoa,486,Bananas,1967,F,550.0,21436.0,1179.0,
5,American Samoa,486,Bananas,1968,F,630.0,17857.0,1125.0,
5,American Samoa,486,Bananas,1969,F,700.0,27286.0,1910.0,
5,American Samoa,486,Bananas,1970,F,700.0,33829.0,2368.0,
5,American Samoa,486,Bananas,1971,F,500.0,30000.0,1500.0,
5,American Samoa,486,Bananas,1972,F,470.0,29787.0,1400.0,
5,American Samoa,486,Bananas,1973,F,400.0,32500.0,1300.0,
5,American Samoa,486,Bananas,1974,F,400.0,30000.0,1200.0,
5,American Samoa,486,Bananas,1975,F,400.0,27500.0,1100.0,
5,American Samoa,486,Bananas,1976,F,350.0,28571.0,1000.0,
5,American Samoa,486,Bananas,1977,F,350.0,28571.0,1000.0,
5,American Samoa,486,Bananas,1978,F,350.0,28571.0,1000.0,
5,American Samoa,486,Bananas,1979,F,350.0,28571.0,1000.0,
5,American Samoa,486,Bananas,1980,F,350.0,28571.0,1000.0,
5,American Samoa,486,Bananas,1981,F,350.0,28571.0,1000.0,
5,American Samoa,486,Bananas,1982,F,350.0,31429.0,1100.0,
5,American Samoa,486,Bananas,1983,F,350.0,31429.0,1100.0,
5,American Samoa,486,Bananas,1984,F,350.0,28571.0,1000.0,
5,American Samoa,486,Bananas,1985,F,350.0,28571.0,1000.0,
5,American Samoa,486,Bananas,1986,F,350.0,28571.0,1000.0,
5,American Samoa,486,Bananas,1987,F,350.0,28571.0,1000.0,
5,American Samoa,486,Bananas,1988,F,350.0,28571.0,1000.0,
5,American Samoa,486,Bananas,1989,F,350.0,28857.0,1010.0,
5,American Samoa,486,Bananas,1990,Im,408.0,24535.0,1000.0,
5,American Samoa,486,Bananas,1991,Im,346.0,24620.0,851.0,
5,American Samoa,486,Bananas,1992,F,300.0,25000.0,750.0,
5,American Samoa,486,Bananas,1993,Im,333.0,24638.0,821.0,
5,American Samoa,486,Bananas,1994,Im,331.0,24600.0,813.0,
5,American Samoa,486,Bananas,1995,Im,329.0,24562.0,809.0,
5,American Samoa,486,Bananas,1996,Im,329.0,24523.0,807.0,
5,American Samoa,486,Bananas,1997,Im,330.0,24484.0,808.0,
5,American Samoa,486,Bananas,1998,Im,332.0,24443.0,812.0,
5,American Samoa,486,Bananas,1999,Im,333.0,24402.0,814.0,
5,American Samoa,486,Bananas,2000,Im,335.0,24360.0,816.0,
5,American Samoa,486,Bananas,2001,Im,334.0,24316.0,812.0,
5,American Samoa,486,Bananas,2002,Im,335.0,24271.0,813.0,
5,American Samoa,486,Bananas,2003,Im,337.0,24222.0,817.0,
5,American Samoa,486,Bananas,2004,Im,340.0,24170.0,821.0,
5,American Samoa,486,Bananas,2005,Im,342.0,24116.0,825.0,
5,American Samoa,486,Bananas,2006,F,320.0,24063.0,770.0,
5,American Samoa,486,Bananas,2007,F,330.0,23939.0,790.0,
5,American Samoa,486,Bananas,2008,Im,346.0,23922.0,827.0,
5,American Samoa,486,Bananas,2009,Im,350.0,23849.0,834.0,
5,American Samoa,486,Bananas,2010,F,380.0,23774.0,903.0,
5,American Samoa,486,Bananas,2011,Im,357.0,23697.0,846.0,
5,American Samoa,486,Bananas,2012,F,370.0,23243.0,860.0,
5,American Samoa,486,Bananas,2013,Im,358.0,23524.0,843.0,
5,American Samoa,486,Bananas,2014,Im,357.0,23646.0,845.0,
5,American Samoa,414,"Beans, green",1961,M,,,,
5,American Samoa,414,"Beans, green",1962,M,,,,
5,American Samoa,414,"Beans, green",1963,M,,,,
5,American Samoa,414,"Beans, green",1964,M,,,,
5,American Samoa,414,"Beans, green",1965,M,,,,
5,American Samoa,414,"Beans, green",1966,M,,,,
5,American Samoa,414,"Beans, green",1967,M,,,,
5,American Samoa,414,"Beans, green",1968,M,,,,
5,American Samoa,414,"Beans, green",1969,M,,,,
5,American Samoa,414,"Beans, green",1970,M,,,,
5,American Samoa,414,"Beans, green",1971,M,,,,
5,American Samoa,414,"Beans, green",1972,M,,,,
5,American Samoa,414,"Beans, green",1973,M,,,,
5,American Samoa,414,"Beans, green",1974,M,,,,
5,American Samoa,414,"Beans, green",1975,M,,,,
5,American Samoa,414,"Beans, green",1976,M,,,,
5,American Samoa,414,"Beans, green",1977,M,,,,
5,American Samoa,414,"Beans, green",1978,M,,,,
5,American Samoa,414,"Beans, green",1979,M,,,,
5,American Samoa,414,"Beans, green",1980,M,,,,
5,American Samoa,414,"Beans, green",1981,M,,,,
5,American Samoa,414,"Beans, green",1982,M,,,,
5,American Samoa,414,"Beans, green",1983,M,,,,
5,American Samoa,414,"Beans, green",1984,M,,,,
5,American Samoa,414,"Beans, green",1985,M,,,,
5,American Samoa,414,"Beans, green",1986,M,,,,
5,American Samoa,414,"Beans, green",1987,M,,,,
5,American Samoa,414,"Beans, green",1988,M,,,,
5,American Samoa,414,"Beans, green",1989,M,,,,
5,American Samoa,414,"Beans, green",1990,M,,,,
5,American Samoa,414,"Beans, green",1991,M,,,,
5,American Samoa,414,"Beans, green",1992,M,,,,
5,American Samoa,414,"Beans, green",1993,M,,,,
5,American Samoa,414,"Beans, green",1994,M,,,,
5,American Samoa,414,"Beans, green",1995,M,,,,
5,American Samoa,414,"Beans, green",1996,M,,,,
5,American Samoa,414,"Beans, green",1997,M,,,,
5,American Samoa,414,"Beans, green",1998,,8.0,66250.0,53.0,
5,American Samoa,414,"Beans, green",1999,F,10.0,60000.0,60.0,
5,American Samoa,414,"Beans, green",2000,F,20.0,40000.0,80.0,
5,American Samoa,414,"Beans, green",2001,F,30.0,36667.0,110.0,
5,American Samoa,414,"Beans, green",2002,F,40.0,32500.0,130.0,
5,American Samoa,414,"Beans, green",2003,,48.0,29167.0,140.0,
5,American Samoa,414,"Beans, green",2004,F,50.0,30000.0,150.0,
5,American Samoa,414,"Beans, green",2005,Im,45.0,30510.0,137.0,
5,American Samoa,414,"Beans, green",2006,Im,45.0,30466.0,136.0,
5,American Samoa,414,"Beans, green",2007,Im,43.0,31298.0,134.0,
5,American Samoa,414,"Beans, green",2008,Im,43.0,30679.0,133.0,
5,American Samoa,414,"Beans, green",2009,Im,43.0,30663.0,132.0,
5,American Samoa,414,"Beans, green",2010,Im,42.0,30643.0,130.0,
5,American Samoa,414,"Beans, green",2011,Im,42.0,30622.0,129.0,
5,American Samoa,414,"Beans, green",2012,F,40.0,30000.0,120.0,
5,American Samoa,414,"Beans, green",2013,Im,43.0,30801.0,132.0,
5,American Samoa,414,"Beans, green",2014,Im,41.0,31298.0,128.0,
5,American Samoa,358,Cabbages and other brassicas,1961,M,,,,
5,American Samoa,358,Cabbages and other brassicas,1962,M,,,,
5,American Samoa,358,Cabbages and other brassicas,1963,M,,,,
5,American Samoa,358,Cabbages and other brassicas,1964,M,,,,
