Area,Area Code
Antigua and Barbuda,8
Argentina,9
Bahamas,12
Barbados,14
Belize,23
Bermuda,17
Bolivia (Plurinational State of),19
Brazil,21
British Virgin Islands,239
Canada,33
Cayman Islands,36
Chile,40
Colombia,44
Costa Rica,48
Cuba,49
Dominica,55
Dominican Republic,56
Ecuador,58
El Salvador,60
French Guiana,69
Grenada,86
Guadeloupe,87
Guatemala,89
Guyana,91
Haiti,93
Honduras,95
Jamaica,109
Martinique,135
Mexico,138
Montserrat,142
Nicaragua,157
Panama,166
Paraguay,169
Peru,170
Puerto Rico,177
Saint Kitts and Nevis,188
Saint Lucia,189
Saint Pierre and Miquelon,190
Saint Vincent and the Grenadines,191
Suriname,207
Trinidad and Tobago,220
United States of America,231
United States Virgin Islands,240
Uruguay,234
Venezuela (Bolivarian Republic of),236
Algeria,4
Angola,7
Benin,53
Botswana,20
Burkina Faso,233
Burundi,29
Cabo Verde,35
Cameroon,32
Central African Republic,37
Chad,39
Comoros,45
Congo,46
C�te d'Ivoire,107
Democratic Republic of the Congo,250
Djibouti,72
Egypt,59
Equatorial Guinea,61
Eritrea,178
Ethiopia,238
Ethiopia PDR,62
Gabon,74
Gambia,75
Ghana,81
Guinea,90
Guinea-Bissau,175
Kenya,114
Lesotho,122
Liberia,123
Libya,124
Madagascar,129
Malawi,130
Mali,133
Mauritania,136
Mauritius,137
Morocco,143
Mozambique,144
Namibia,147
Niger,158
Nigeria,159
R�union,182
Rwanda,184
"Saint Helena, Ascension and Tristan da Cunha",187
Sao Tome and Principe,193
Senegal,195
Seychelles,196
Sierra Leone,197
Somalia,201
South Africa,202
South Sudan,277
Sudan,276
Sudan (former),206
Swaziland,209
Togo,217
Tunisia,222
Uganda,226
United Republic of Tanzania,215
Western Sahara,205
Zambia,251
Zimbabwe,181
Afghanistan,2
Armenia,1
Azerbaijan,52
Bahrain,13
Bangladesh,16
Bhutan,18
Brunei Darussalam,26
Cambodia,115
"China, Hong Kong SAR",96
"China, Macao SAR",128
"China, mainland",41
"China, Taiwan Province of",214
Cyprus,50
Democratic People's Republic of Korea,116
Georgia,73
India,100
Indonesia,101
Iran (Islamic Republic of),102
Iraq,103
Israel,105
Japan,110
Jordan,112
Kazakhstan,108
Kuwait,118
Kyrgyzstan,113
Lao People's Democratic Republic,120
Lebanon,121
Malaysia,131
Maldives,132
Mongolia,141
Myanmar,28
Nepal,149
Occupied Palestinian Territory,299
Oman,221
Pakistan,165
Philippines,171
Qatar,179
Republic of Korea,117
Saudi Arabia,194
Singapore,200
Sri Lanka,38
Syrian Arab Republic,212
Tajikistan,208
Thailand,216
Timor-Leste,176
Turkey,223
Turkmenistan,213
United Arab Emirates,225
Uzbekistan,235
Viet Nam,237
Yemen,249
Albania,3
Austria,11
Belarus,57
Belgium,255
Belgium-Luxembourg,15
Bosnia and Herzegovina,80
Bulgaria,27
Croatia,98
Czechia,167
Czechoslovakia,51
Denmark,54
Estonia,63
Faroe Islands,64
Finland,67
France,68
Germany,79
Greece,84
Hungary,97
Iceland,99
Ireland,104
Italy,106
Latvia,119
Liechtenstein,125
Lithuania,126
Luxembourg,256
Malta,134
Montenegro,273
Netherlands,150
Norway,162
Poland,173
Portugal,174
Republic of Moldova,146
Romania,183
Russian Federation,185
Serbia,272
Serbia and Montenegro,186
Slovakia,199
Slovenia,198
Spain,203
Sweden,210
Switzerland,211
The former Yugoslav Republic of Macedonia,154
Ukraine,230
United Kingdom,229
USSR,228
Yugoslav SFR,248
American Samoa,5
Australia,10
Cook Islands,47
Fiji,66
French Polynesia,70
Guam,88
Kiribati,83
Marshall Islands,127
Micronesia (Federated States of),145
Nauru,148
New Caledonia,153
New Zealand,156
Niue,160
Pacific Islands Trust Territory,164
Papua New Guinea,168
Samoa,244
Solomon Islands,25
Tokelau,218
Tonga,219
Tuvalu,227
Vanuatu,155
Wallis and Futuna Islands,243
