Item,Item Code
Bananas,486
"Beans, green",414
Cabbages and other brassicas,358
Cassava,125
"Cocoa, beans",661
Coconuts,249
Cucumbers and gherkins,397
Eggplants (aubergines),399
"Fruit, citrus nes",512
"Fruit, fresh nes",619
"Maize, green",446
"Melons, other (inc.cantaloupes)",568
"Onions, shallots, green",402
Pineapples,574
Sugar cane,156
Taro (cocoyam),136
"Tobacco, unmanufactured",826
Tomatoes,388
"Vegetables, fresh nes",463
Yams,137
"Citrus Fruit,Total",1804
"Fruit excl Melons,Total",1801
Oilcakes Equivalent,1841
Oilcrops Primary,1732
"Roots and Tubers,Total",1720
Vegetables Primary,1735
"Vegetables&Melons, Total",1800
"Almonds, with shell",221
"Anise, badian, fennel, coriander",711
Apples,515
Apricots,526
Asparagus,367
Avocados,572
Barley,44
"Beans, dry",176
Berries nes,558
Blueberries,552
"Broad beans, horse beans, dry",181
Canary seed,101
Carrots and turnips,426
Cauliflowers and broccoli,393
Cherries,531
Chick peas,191
"Chillies and peppers, green",401
Cotton lint,767
Cottonseed,329
"Cow peas, dry",195
Currants,550
Fibre crops nes,821
Figs,569
Flax fibre and tow,773
"Fruit, stone nes",541
"Fruit, tropical fresh nes",603
Grapefruit (inc. pomelos),507
Grapes,560
"Groundnuts, with shell",242
Hops,677
Kiwi fruit,592
Lemons and limes,497
Lentils,201
Lettuce and chicory,372
Linseed,333
Lupins,210
Maize,56
"Mangoes, mangosteens, guavas",571
Millet,79
Mushrooms and truffles,449
Mustard seed,292
"Nuts, nes",234
Oats,75
Olives,260
"Onions, dry",403
Oranges,490
Papayas,600
Peaches and nectarines,534
Pears,521
"Peas, dry",187
"Peas, green",417
Persimmons,587
Pistachios,223
Plums and sloes,536
Potatoes,116
"Pulses, nes",211
"Pumpkins, squash and gourds",394
Quinces,523
Rapeseed,270
Raspberries,547
"Rice, paddy",27
Rye,71
Safflower seed,280
Seed cotton,328
Sorghum,83
Soybeans,236
Spinach,373
Strawberries,544
Sunflower seed,267
Sweet potatoes,122
"Tangerines, mandarins, clementines, satsumas",495
Triticale,97
Vetches,205
"Walnuts, with shell",222
Watermelons,567
Wheat,15
Cereals (Rice Milled Eqv),1817
"Cereals,Total",1717
"Coarse Grain, Total",1814
Fibre Crops Primary,1753
"Pulses,Total",1726
"Treenuts,Total",1729
"Coffee, green",656
"Roots and tubers, nes",149
Vanilla,692
Ginger,720
Okra,430
Pepper (piper spp.),687
String beans,423
"Spices, nes",723
Plantains,489
"Cereals, nes",108
Coir,813
Garlic,406
Gooseberries,549
"Leeks, other alliaceous vegetables",407
"Vegetables, leguminous nes",420
"Chillies and peppers, dry",689
"Nutmeg, mace and cardamoms",702
"Oil, palm",257
"Oil, palm fruit",254
Palm kernels,256
"Pyrethrum, dried",754
"Rubber, natural",836
Tea,667
Oilseeds nes,339
